"","infected.mean","infected.sd","prop_infected","conformist.informed.mean","conformist.informed.sd","conformist.prop_informed","bhs","modularity","qrel","avg_module_size","clustering","mean_degree","sd_degree","avg_path_length","chosenu","r_infected_mean","r_infected_sd","r_informed_mean","r_informed_sd","r_bhs"
"baboon_association_weighted_8",1.4,0.755928946018455,0.07,2.34,2.43788131501975,0.117,0.318703756642946,0.382448979591837,0.522589858638491,4,0.267857142857143,3.3,1.94935886896179,2.51578947368421,0.133787110980259,1.28,0.607436903584837,2.02,0.999795897538439,0.159696993857139
"bats_foodsharing_weighted_1",1.6,1.04978131833565,0.0761904761904762,2.68,3.06687369901571,0.127619047619048,0.272613835880996,0.224104810276371,0.374023200599185,7,0.658423493044822,6.85714285714286,4.7464272277758,739.942857142857,0.145485232946693,1.74,1.27471485406881,2.72,3.45253530032641,0.23324194219717
"bats_roostuse_weighted_1",10.08,7.34802486303327,0.234418604651163,8.54,9.08959934906543,0.198604651162791,0.0155659358502983,0.0977833522441107,0.215814050839337,10.75,0.932442373712604,25.3953488372093,11.9366174016956,16.0232558139535,0.238965886554616,8.08,5.76350233657222,6.3,6.49725216643819,0.0140823022747837
"bison_dominance_weighted_1",4.5,2.90144228736999,0.173076923076923,26,0,1,Inf,0.139416163627302,0.219171492312186,6.5,0.788739669421488,17.0769230769231,4.92278845308694,2.20307692307692,0.999933893038648,4.18,2.81895913632051,26,0,Inf
"brachyteles_arachonoides_association_griffin_1",3.82,2.84059493624782,0.173636363636364,22,0,1,Inf,0.247606404678244,0.397778388413378,5.5,0.847651775486827,15.1818181818182,4.88570669096395,0.50720089583896,0.999933893038648,3.74,2.67879046723459,22,0,Inf
"cattle_dominance_weighted_1",4.98,3.78768142961428,0.177857142857143,28,0,1,Inf,0.183662360284512,0.300201481272217,5.6,0.64859693877551,14.6428571428571,5.01268232855266,1.95767195767196,0.999933893038648,3.32,2.42806717454061,28,0,Inf
"dolphin_association_weighted_1",6.1,7.30180296437888,0.0321052631578947,6.3,9.02208175443304,0.0331578947368421,0.0111805078354444,0.459479327411645,0.563140303678026,19.5555555555556,0.525950091090116,11.9368421052632,10.8869229125606,2.92208381990398,0.235682255615932,2.5,1.82107839771171,3.68,2.61424668198809,0.0662845032691275
"dolphin_proximity_unweighted_1",1.58,1.14446315727827,0.0254838709677419,2.22,2.07305354981683,0.0358064516129032,0.101747844079365,0.518531703650963,0.717583659361259,12.4,0.308775731310943,5.12903225806452,2.95587146156646,3.35695399259651,0.0808725313793248,1.56,0.88433071660241,1.96,1.36964169305221,0.0614423542354923
"elephantseal_dominance_weighted_1",1.2,0.451753951452625,0.024,2.28,1.26232697339283,0.0456,0.389690105599386,0.584661989795918,0.761652437240886,6.57142857142857,0.0608108108108108,2.32,1.70760603399816,4.07810993249759,0.124738456810992,1.22,0.464670170494017,2.22,2.0029569977146,0.469296442871595
"erythrocebus_patas_grooming_griffin_1",1.62,1.12286077789306,0.0852631578947368,19,0,1,Inf,0.334358262248762,0.912971748542885,9.5,0.433460076045627,5.1578947368421,2.56608560294419,1.1320731405269,0.999933893038648,1.52,0.886174995386904,19,0,Inf
"groundsquirrel_association_weighted_2",11.74,9.68442890754566,0.198983050847458,11.98,15.4080418970757,0.203050847457627,0.0521204865228431,0.243437118650375,0.353844128242209,11.8,0.616339049212324,23.5593220338983,14.191147296868,0.0634371712448862,0.253899050329594,6.76,6.44778082374241,6.16,4.49652927380709,0.0332542110077172
"humpbackdolphin_proximity_weighted_1",16.54,11.803164570468,0.3308,50,0,1,Inf,0.499777120803654,0.825299318951819,16.6666666666667,0.853477095443183,36.04,8.16153246914438,0.00163121392163279,0.999933893038648,18.88,10.0135418513213,50,0,Inf
"hyenas_groupmembership_weighted_3",10.34,6.33297170467743,0.295428571428571,35,0,1,Inf,0.173571259804271,0.348347875579405,17.5,0.889686282550748,29.0857142857143,4.44159105416482,0.0219504338633613,0.999933893038648,12.26,7.35349424090482,35,0,Inf
"japanesemonkey_dominance_weighted_1",22.78,12.2179025555593,0.36741935483871,17.92,18.739720991977,0.289032258064516,0.0562097745657626,0.180383318197802,0.27928305202924,20.6666666666667,0.659941974225761,37.6451612903226,7.46158857562648,1.70967741935484,0.278143023704924,21.96,13.8032235217661,12.32,14.9180619193168,0.0577488876540373
"kangaroo_proximity_weighted_1",2.5,1.86536640817151,0.147058823529412,2.58,2.67329957398061,0.151764705882353,0.0318491556672151,0.119569840110381,0.227841742572536,5.66666666666667,0.840594059405941,10.7058823529412,3.98065173499191,2.22058823529412,0.138262491057846,2.54,1.56765781355759,2.34,2.29115424079263,0.036465276724722
"killerwhale_proximity_weighted_1",2.54,1.51468997299306,0.0590697674418605,2.44,1.4165206007132,0.0567441860465116,0.00170293709352039,0.403898112616493,0.622996285509604,14.3333333333333,0.50452302631579,10.5116279069767,3.66691834432737,2.12735326688815,0.0859464283439161,2.32,1.46301338451338,2.64,1.53543186771936,0.00627478976386335
"macaca_artoides_grooming_griffin_1",2.96,2.04000800318558,0.155789473684211,19,0,1,Inf,0.272030709399063,0.438904696054858,4.75,0.689863842662632,12,2.74873708374511,0.394303515698831,0.999933893038648,2.76,1.75615535550049,19,0,Inf
