"","infected.mean","infected.sd","prop_infected","conformist.informed.mean","conformist.informed.sd","conformist.prop_informed","bhs","modularity","qrel","avg_module_size","clustering","mean_degree","sd_degree","avg_path_length","chosenu","r_infected_mean","r_infected_sd","r_informed_mean","r_informed_sd","r_bhs"
"ants_trophallaxis_weighted_7",2.18,1.49406991066656,0.0751724137931035,2.56,1.5539285303871,0.0882758620689655,0.00815423229096279,0.633978119244795,0.892884153571113,5.8,0.127118644067797,2.96551724137931,1.54648815571395,179.620689655172,0.257354213751998,2.32,1.64676553725595,2.06,1.54404716011301,0.00435269953917717
"beetle_proximity_weighted_1",11.8,7.18558647997674,0.393333333333333,15.72,13.4574764896465,0.524,0.109079742942212,0.232949591074874,0.329815835175031,6,0.471954425942156,12.3333333333333,3.57513764705673,0.0854386374620691,0.614298718593758,14.98,7.18981706218977,12.9,13.2730354247909,0.0933538210671199
"asianelephants_dominance_unweighted_1",1.88,0.917850194526229,0.0257534246575342,2.88,1.90209336881066,0.0394520547945205,0.178478249012225,0.503099173553719,0.87914200560588,5,0.0759493670886076,1.64383561643836,1.05895471277758,3.11818181818182,0.128948435917255,1.66,1.08062717994728,2.1,1.47426910289645,0.0382288246444226
"baboon_association_weighted_28",1.86,1.17820340574373,0.11625,4.2,3.64775580994392,0.2625,0.361262981304025,0.44896449704142,0.665233980372348,4,0.136363636363636,2.625,1.1474609652039,3.36666666666667,0.185734251753555,2.1,1.29756443747035,3.02,3.04718002790268,0.182900010210757
"bats_foodsharing_weighted_1",6.52,4.38569101901692,0.31047619047619,2.62,2.64104184760793,0.124761904761905,0.206806502575991,0.241138529094257,0.333496161806176,5.25,0.658423493044822,6.85714285714286,4.7464272277758,739.942857142857,0.31738989444087,4.14,3.15588210120953,2.26,3.10240196608752,0.0451903611522383
"bats_roostuse_weighted_1",35.56,5.38387615468443,0.826976744186047,34.64,16.0836588384812,0.805581395348837,0.254463140297529,0.0977833522441107,0.215814050839337,10.75,0.932442373712604,25.3953488372093,11.9366174016956,16.0232558139535,0.745691817882835,39.42,4.89518714073907,41.12,7.60408053720675,0.0558381004271383
"bison_dominance_weighted_1",20.26,5.49140330007564,0.779230769230769,21.52,8.67847442626565,0.827692307692308,0.0543947681763663,0.139416163627302,0.219171492312186,6.5,0.788739669421488,17.0769230769231,4.92278845308694,2.20307692307692,0.693133312710346,19.56,6.71629149371671,21.9,8.49069118121098,0.0252958083651707
"brachyteles_arachonoides_association_griffin_1",14.18,5.95798212655998,0.644545454545455,15.34,9.3429226734268,0.697272727272727,0.0517192560110272,0.247606404678245,0.397778388413379,5.5,0.847651775486827,15.1818181818182,4.88570669096395,0.50720089583896,0.669825772582666,14.68,5.1485682574907,16.82,8.43871060854049,0.0704195245230044
"cattle_dominance_weighted_1",18.18,6.35574623502871,0.649285714285714,16.6,11.9608203936768,0.592857142857143,0.0973199006734148,0.185077660037741,0.257245396541764,5.6,0.64859693877551,14.6428571428571,5.01268232855266,1.95767195767196,0.645927638145665,17.02,7.00579934695506,17.06,12.0719103876795,0.0706367957666922
"dolphin_association_weighted_1",23.76,29.853766042809,0.125052631578947,28.9,51.0031011462108,0.152105263157895,0.0704144856875743,0.459004443618503,0.599429965561413,19.5555555555556,0.525950091090116,11.9368421052632,10.8869229125606,2.92208381990398,0.647796692594631,21.56,21.2748390243077,9.42,10.071357649193,0.194945400199349
